"SiteURL","ListName","ListURL","ContentTypeName"
"https://postfallsidahoorg.sharepoint.com/sites/CityClerkDepartment","Agenda Docs","/sites/CityClerkDepartment/AgendaDocs","Document"
"https://postfallsidahoorg.sharepoint.com/sites/CityClerkDepartment","Certificates Of Insurance","/sites/CityClerkDepartment/CertificatesOfInsurance","Document"
"https://postfallsidahoorg.sharepoint.com/sites/CityClerkDepartment","Clerk Documents","/sites/CityClerkDepartment/ClerkDocuments","Document"
"https://postfallsidahoorg.sharepoint.com/sites/CityClerkDepartment","Clerk Forms","/sites/CityClerkDepartment/ClerkForms","Document"
"https://postfallsidahoorg.sharepoint.com/sites/CityClerkDepartment","Council Agenda Documents","/sites/CityClerkDepartment/Council Agenda Documents","Document"
"https://postfallsidahoorg.sharepoint.com/sites/CityClerkDepartment","Document Templates","/sites/CityClerkDepartment/Document Templates","Document"
"https://postfallsidahoorg.sharepoint.com/sites/CityClerkDepartment","Documents","/sites/CityClerkDepartment/Documents","Document"
"https://postfallsidahoorg.sharepoint.com/sites/CityClerkDepartment","Meeting Documents","/sites/CityClerkDepartment/Meeting Documents","Document"
"https://postfallsidahoorg.sharepoint.com/sites/CityClerkDepartment","Minutes","/sites/CityClerkDepartment/Minutes","Document"
"https://postfallsidahoorg.sharepoint.com/sites/CityClerkDepartment","Ordinances","/sites/CityClerkDepartment/Ordinances","Document"
"https://postfallsidahoorg.sharepoint.com/sites/CityClerkDepartment","Personnel Policy Updates","/sites/CityClerkDepartment/PersonnelPolicyUpdates","Document"
"https://postfallsidahoorg.sharepoint.com/sites/CityClerkDepartment","Policies and Procedures","/sites/CityClerkDepartment/Policies","Document"
"https://postfallsidahoorg.sharepoint.com/sites/CityClerkDepartment","Resolutions","/sites/CityClerkDepartment/Resolutions","Document"
"https://postfallsidahoorg.sharepoint.com/sites/CityClerkDepartment","Shared Documents","/sites/CityClerkDepartment/Shared Documents","Document"
"https://postfallsidahoorg.sharepoint.com/sites/CityClerkDepartment","Site Assets","/sites/CityClerkDepartment/SiteAssets","Document"
"https://postfallsidahoorg.sharepoint.com/sites/CityClerkDepartment","Site Collection Documents","/sites/CityClerkDepartment/SiteCollectionDocuments","Document"
"https://postfallsidahoorg.sharepoint.com/sites/CityClerkDepartment","Site Collection Images","/sites/CityClerkDepartment/SiteCollectionImages","Document"
"https://postfallsidahoorg.sharepoint.com/sites/CityClerkDepartment","Style Library","/sites/CityClerkDepartment/Style Library","Document"
"https://postfallsidahoorg.sharepoint.com/sites/CityClerkDepartment","x1_DELETE","/sites/CityClerkDepartment/x1_DELETE","Document"
"https://postfallsidahoorg.sharepoint.com/sites/CityClerkDepartment","x2_DELETE","/sites/CityClerkDepartment/x2_DELETE","Document"
"https://postfallsidahoorg.sharepoint.com/sites/CityClerkDepartment","x3_DELETE","/sites/CityClerkDepartment/x3_DELETE","Document"
